M is representing peak till the message
Malloc-M represents malloc memory at the message
STATS:: STARC05-1.4.3.4 :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: SG_ErcChecks :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: STARC05-2.5.1.2 :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: RegInputOutput-ML :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: SOC_SgNetListUndrivenUnloadInstPin :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: CombLoop :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: STARC05-1.2.1.2 :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS:: LatchFeedback :  StartM=1509.70mb, EndM=1509.70mb, T=0s
STATS::  SgNetlistChecker :  :  StartM=1467.18mb, EndM=1509.70mb, T=0s
STATS:: before SQL Mem : CurrMem: 22 mb, PeakMem: 24 mb M=1509.7mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:13)
STATS:: after  SQL Mem : CurrMem: 22 mb, PeakMem: 24 mb M=1509.7mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:13)
STATS:: LINT NGHDL Checking        :  :  StartM=1442.61mb, EndM=1509.70mb, T=5s
STATS:: loadBuiltinViolationsInDB :  StartM=1509.70mb, EndM=1512.01mb, T=0s
STATS:: before SQL Mem : CurrMem: 22 mb, PeakMem: 24 mb M=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:14)
STATS:: after  SQL Mem : CurrMem: 22 mb, PeakMem: 24 mb M=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:14)
STATS:: before SQL Mem : CurrMem: 22 mb, PeakMem: 24 mb M=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:14)
STATS:: after  SQL Mem : CurrMem: 22 mb, PeakMem: 24 mb M=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:14)
STATS:: before SQL Index (add_index) :CurrMem: 22 mb, PeakMem: 24 mb M=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:14)
STATS:: after  SQL Index (add_index) :CurrMem: 22 mb, PeakMem: 24 mb M=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:14)
STATS:: before ApplyPendingWaiverM=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:15)
STATS:: after  ApplyPendingWaiverM=1512.01mb, Malloc-M=421mb, T=0s W=(2025-08-30 02:53:15)
STATS:: before PragmaWaiverGen: M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: |   before PragmaWaiverUsingViol : M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: |   after  PragmaWaiverUsingViol : M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: after  PragmaWaiverGen: M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: before PragmaWaiverApply: M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: |   before generatePragmaWaiverCommands: M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: |   after  generatePragmaWaiverCommands: M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: after  PragmaWaiverApply: M=1512.01mb, Malloc-M=430mb, T=0s W=(2025-08-30 02:53:15)
STATS:: report_lint :  StartM=1512.01mb, EndM=1518.27mb, T=1s
